name,birth_date,birth_place,death_date,death_place,nationality,occupation,years_active,known_for,awards,alma_mater,education,employer,notable_works,field,spouse,children,parents,religion,genre
Isaac Newton,{{Birth date|df=y|1643|01|04}},"{{nowrap|[[Woolsthorpe-by-Colsterworth]],}} Lincolnshire, England",{{Death date and age|df=y|1727|03|31|1643|01|04}},"[[Kensington]], Middlesex, England",,,,{{collapsible list|[[Classical mechanics|Newtonian mechanics]]| [[universal gravitation]]| [[calculus]]| [[Newton's laws of motion]]| [[optics]]| [[binomial series]]| ''[[Philosophiæ Naturalis Principia Mathematica|Principia]]''| [[Newton's method]] | [[Newton's law of cooling]]| [[Newton's identities]]| [[Newton's metal]]| [[Newton line]]| [[Newton–Gauss line]]| [[Newtonian fluid]]| [[Newton's rings]]|''[[Standing on the shoulders of giants]]'' |[[List of things named after Isaac Newton|List of all other works and concepts]]|}},"{{unbulleted list | [[Fellow of the Royal Society|FRS]]&nbsp;(1672)<ref name=""frs"">{{cite web |title=Fellows of the Royal Society |url=https://royalsociety.org/about-us/fellowship/fellows |archive-url=https://web.archive.org/web/20150316060617/https://royalsociety.org/about-us/fellowship/fellows |archive-date=16 March 2015 |publisher=Royal Society |location=London}}</ref> | [[Knight Bachelor]]&nbsp;(1705)}}",,"[[Trinity College, Cambridge]] ([[Bachelor of Arts|BA]], 1665; [[Master of Arts|MA]], 1668)<ref>Kevin C. Knox, Richard Noakes (eds.), ''From Newton to Hawking: A History of Cambridge University's Lucasian Professors of Mathematics'', Cambridge University Press, 2003, p.&nbsp;61.</ref>",,,,,,,,
Marie Curie,{{birth date|df=y|1867|11|7}},"[[Warsaw]], [[Congress Poland|Poland]], Russian Empire",{{death date and age|df=y|1934|7|4|1867|11|7}},"[[Passy, Haute-Savoie|Passy]], [[Rhône-Alpes]], France",,,,{{plainlist| * Discovering [[polonium]] and [[radium]] * Researching [[radioactivity]] }},,[[University of Paris]],,,,,,,,,
Albert Einstein,{{Birth date|df=yes|1879|3|14}},"[[Ulm]], [[Kingdom of Württemberg]], Germany<ref group=note name=GEcitizen/>",{{Death date and age|df=yes|1955|4|18|1879|3|14}},"[[Princeton, New Jersey]], U.S.",,,,,,,,,,,"{{plainlist| * {{marriage|[[Mileva Marić]]|1903|1919|end=divorced}} * {{marriage|[[Elsa Löwenthal]]|1919|1936|end=died<!--<ref name=""66xNO"" />{{sfnp|Pais|1982|p=301}} -->}}}}","{{flatlist| * [[Lieserl Einstein|Lieserl]] * [[Hans Albert Einstein|Hans Albert]] * [[Einstein family#Eduard ""Tete"" Einstein (Albert's second son)|Eduard ""Tete""]]}}",,,
The Countess of Lovelace,{{birth date|df=y|1815|12|10}},"London, England",{{death date and age|df=y|1852|11|27|1815|12|10}},"[[Marylebone]], London, England",British,,,,,,,,,,"{{marriage|[[William King-Noel, 1st Earl of Lovelace]]|1835}}","{{plainlist| * [[Byron King-Noel, Viscount Ockham]] * [[Anne Blunt, 15th Baroness Wentworth]] * [[Ralph King-Milbanke, 2nd Earl of Lovelace]]}}","{{Plainlist | * [[Lord Byron|George Byron, 6th Baron Byron]] (father) * [[Lady Byron|Anne Isabella Milbanke]] (mother) }}",,
Leonardo da Vinci,{{birth date|df=yes|1452|04|15}},"possibly [[Anchiano]],{{efn|name=Birthplace}} [[Vinci, Tuscany|Vinci]], {{awrap|[[Republic of Florence]]}}",{{death date and age|df=yes|1519|5|2|1452|4|15}},"[[Clos Lucé]], [[Amboise]], {{awrap|[[Kingdom of France]]}}",,,{{circa|1470–1519}},{{hlist|Painting|drawing|engineering|anatomical studies|hydrology|botany|optics|geology}},,,Studio of [[Andrea del Verrocchio]],,{{plainlist| * ''[[Virgin of the Rocks]]'' ({{circa|1483–1493}}) * ''[[Lady with an Ermine]]'' ({{circa|1489–1491|lk=no}}) * ''[[Vitruvian Man|The Vitruvian Man]]'' ({{circa|1490|lk=no}}) * ''[[The Last Supper (Leonardo)|The Last Supper]]'' ({{circa|1495–1498|lk=no}}) * ''[[Mona Lisa]]'' ({{circa|1503–1516|lk=no}})}},,,,,,
Galileo Galilei,{{birth date|1564|02|15|df=y}}{{sfn|Drake|1978|p=1}},"[[Pisa]], Duchy of Florence",{{death date and age|1642|01|08|1564|02|15|df=y}},"[[Arcetri]], Grand Duchy of Tuscany",,,,{{hlist|[[Analytical dynamics]]|[[heliocentrism]]|[[kinematics]]|[[observational astronomy]]}},,,"[[University of Pisa]] <!-- This field is for the university name. Please do not put a degree here,  -->",,,{{hlist|[[Astronomy]]|[[physics]]|[[engineering]]|[[natural philosophy]]|[[mathematics]]}},,,,,
Nikola Tesla,{{birth date|1856|7|10|df=y}},"[[Smiljan, Croatia|Smiljan]], [[Austrian Empire]] <br /> (now in [[Croatia]])<!-- There is consensus against adding [[Croatian Military Frontier]] here -->",{{death date and age|1943|1|7|1856|7|10|df=y}},"[[New York City]], U.S.",,{{hlist|Engineer|[[futurist]]|inventor}},,,{{ubil,[[Graz University of Technology]] (dropped out),,,,,,,,,
Charles Darwin,{{birth date|df=y|1809|2|12}},"[[Shrewsbury]], Shropshire, England",{{death date and age|1882|df=y|4|19|1809|2|12}},"[[Down House]], Down, Kent, England<!--Letter no. 3368 footnote; ""spelling of the village name was variable. 'Down' was the commonest form up to the 1870s, and 'Downe' thereafter"", and it was in Kent until 1965, (now in [[Greater London]])-->",,,,,,,"{{ubli| [[University of Edinburgh]]| [[Christ's College, Cambridge]] ([[Bachelor of Arts|BA]], [[Master of Arts|MA]])<ref>{{cite news|url=https://www.telegraph.co.uk/news/uknews/5032354/Charles-Darwins-personal-finances-revealed-in-new-find.html|archive-url=https://web.archive.org/web/20171019230458/http://www.telegraph.co.uk/news/uknews/5032354/Charles-Darwins-personal-finances-revealed-in-new-find.html|url-status=dead|title=Charles Darwin's personal finances revealed in new find|date=22 March 2009|archive-date=19 October 2017|work=The Telegraph }}",,,,,,,,
Thomas Edison,{{Birth date|1847|2|11}},"[[Milan, Ohio]], U.S.",{{Death date and age|1931|10|18|1847|2|11}},"[[West Orange, New Jersey]], U.S.",,{{hlist|Inventor|businessman}},1877–1930,"[[Phonograph]], [[Electric light]], [[Electric power distribution]], [[Film|Early motion pictures]], ''[[List of Edison patents|see list]]''",{{collapsible list,,Self-educated; some coursework at [[Cooper Union]],,,,{{ublist,"6, including [[Madeleine Edison|Madeleine]], [[Charles Edison|Charles]], and [[Theodore Miller Edison|Theodore]]",,,
Aristotle,384 BC,"[[Stagira (ancient city)|Stagira]], [[Chalcidian League]]",{{nowrap|322 BC (aged 61–62)}},"[[Chalcis]], [[Euboea]], [[Macedonian Empire]]",,,,,,,[[Platonic Academy]],,,,,,,,
